OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200000,2023-01-04,C72649,Monitor,5.0,570.62,Unknown,,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1
ORD200001,2024-08-23,C75739,Phone,2.0,151.35,Unknown,,Shipped,TRK91186779,3,SAVE10,Referral,302.7
ORD200002,2024-02-27,C81728,Tablet,5.0,550.68,Unknown,,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4
ORD200003,2023-10-15,C33540,Chair,1.0,273.19,Unknown,,Returned,TRK62788070,5,SAVE10,Facebook,273.19
ORD200004,2025-05-08,C81840,Printer,4.0,626.01,Unknown,,Delivered,TRK29241424,8,SAVE10,Email,2504.04
ORD200005,2023-10-23,C37249,Phone,2.0,245.86,Unknown,,Shipped,TRK72976927,4,SAVE10,Instagram,491.72
ORD200006,2025-06-17,C83492,Laptop,1.0,664.42,Unknown,,Returned,TRK96417362,6,SAVE10,Facebook,664.42
ORD200007,2023-05-12,C41460,Monitor,5.0,149.55,Unknown,,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75
ORD200008,2025-04-02,C26817,Phone,2.0,134.28,Unknown,,Cancelled,TRK61042692,2,NO_COUPON,Email,268.56
ORD200009,2023-11-21,C31946,Desk,4.0,509.38,Unknown,,Shipped,TRK33478363,6,SAVE10,Google,2037.52
ORD200010,2023-12-29,C43443,Tablet,5.0,625.97,Unknown,,Returned,TRK98859248,9,WINTER15,Instagram,3129.85
ORD200011,2024-02-17,C93861,Monitor,3.0,49.14,Unknown,,Returned,TRK48234646,7,SAVE10,Email,147.42
ORD200012,2024-10-15,C38785,Monitor,2.0,180.5,Unknown,,Pending,TRK20419991,6,FREESHIP,Referral,
ORD200013,2023-08-30,C88348,Laptop,3.0,201.49,Unknown,,Returned,TRK81913874,4,FREESHIP,Facebook,604.47
ORD200014,2023-03-27,C98474,Tablet,2.0,393.33,Unknown,,Pending,TRK79186539,3,SAVE10,Instagram,786.66
ORD200015,2023-07-17,C39416,Printer,1.0,473.96,Unknown,,Delivered,TRK54930938,3,NO_COUPON,Google,473.96
ORD200016,2023-01-24,C28976,Printer,2.0,533.81,Unknown,,Pending,TRK13194259,3,FREESHIP,Email,1067.62
ORD200017,2024-03-02,C60672,Tablet,1.0,423.4,Unknown,,Shipped,TRK11972116,3,NO_COUPON,Referral,423.4
ORD200018,2025-03-26,C84329,Desk,1.0,431.44,Unknown,,Pending,TRK65191045,3,SAVE10,Facebook,431.44
ORD200019,2023-01-23,C14552,Monitor,,,Unknown,,Returned,TRK59101365,9,SAVE10,Google,
ORD200020,2023-05-08,C54829,Chair,5.0,62.51,Unknown,,Pending,TRK16718651,9,WINTER15,Instagram,312.55
ORD200021,2024-11-17,C99023,Monitor,4.0,342.95,Unknown,,Delivered,TRK52646983,6,NO_COUPON,Google,1371.8
ORD200022,2023-01-29,C34416,Monitor,2.0,49.62,Unknown,,Pending,TRK75937350,2,SAVE10,Google,99.24
ORD200023,2025-04-09,C42372,Phone,4.0,273.25,Unknown,,Cancelled,TRK36168083,5,FREESHIP,Referral,
ORD200024,2024-10-30,C17470,Laptop,2.0,230.95,Unknown,,Delivered,TRK28775057,3,WINTER15,Referral,461.9
ORD200025,2024-07-24,C42577,Monitor,1.0,399.98,Unknown,,Delivered,TRK69423327,3,WINTER15,Email,399.98
ORD200026,2024-03-06,C21944,Laptop,5.0,59.55,Unknown,,Delivered,TRK80276812,6,NO_COUPON,Referral,297.75
ORD200027,2024-02-22,C97593,Printer,1.0,472.74,Unknown,,Shipped,TRK89117573,6,WINTER15,Google,472.74
ORD200028,2023-11-21,C59823,Phone,4.0,160.07,Unknown,,Pending,TRK65895539,5,NO_COUPON,Email,640.28
ORD200029,2024-09-20,C33260,Desk,3.0,423.53,Unknown,,Delivered,TRK59744090,6,SAVE10,Referral,1270.59
ORD200030,2025-03-22,C44267,Monitor,2.0,426.7,Unknown,,Pending,TRK54751444,5,SAVE10,Referral,853.4
ORD200031,2023-06-30,C26445,Chair,3.0,500.08,Unknown,,Returned,TRK31229981,6,NO_COUPON,Facebook,1500.24
ORD200032,2023-05-01,C12388,Tablet,5.0,536.72,Unknown,,Delivered,TRK99261395,10,NO_COUPON,Email,2683.6
ORD200033,2023-06-05,C52184,Chair,1.0,162.77,Unknown,,Cancelled,TRK73312471,4,WINTER15,Facebook,162.77
ORD200034,2023-01-07,C67195,Chair,4.0,576.52,Unknown,,Pending,TRK55467915,5,WINTER15,Facebook,2306.08
ORD200035,2024-12-07,C50304,Monitor,2.0,465.15,Unknown,,Shipped,TRK46850888,2,SAVE10,Facebook,930.3
ORD200036,2025-05-08,C59337,Laptop,2.0,534.43,Unknown,,Pending,TRK50961250,5,NO_COUPON,Facebook,1068.86
ORD200037,2024-10-14,C10054,Laptop,2.0,76.74,Unknown,,Returned,TRK94005261,7,SAVE10,Instagram,153.48
ORD200038,2024-12-19,C15924,Laptop,1.0,245.89,Unknown,,Delivered,TRK14835975,3,SAVE10,Google,245.89
ORD200039,2025-02-27,C96664,Printer,3.0,256.46,Unknown,,Delivered,TRK85508960,4,SAVE10,Referral,769.38
ORD200040,2023-08-20,C84766,Desk,2.0,344.02,Unknown,,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04
ORD200041,2023-12-05,C20212,Monitor,3.0,611.45,Unknown,,Pending,TRK69733327,4,FREESHIP,Instagram,1834.35
ORD200042,2024-05-06,C28712,Printer,2.0,151.66,Unknown,,Cancelled,TRK40772558,6,NO_COUPON,Instagram,303.32
ORD200043,2023-12-14,C60572,Chair,3.0,499.21,Unknown,,Cancelled,TRK20351666,8,NO_COUPON,Instagram,1497.63
ORD200044,2025-04-21,C73225,Phone,2.0,550.18,Unknown,,Returned,TRK73848522,3,FREESHIP,Referral,1100.36
ORD200045,2024-02-10,C17388,Chair,1.0,317.25,Unknown,,Returned,TRK47077395,1,SAVE10,Facebook,317.25
ORD200046,2024-06-26,C43212,Monitor,4.0,550.14,Unknown,,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56
ORD200047,2023-07-19,C38134,Desk,2.0,209.94,Unknown,,Returned,TRK42450754,3,FREESHIP,Email,419.88
ORD200048,2023-08-26,C12408,Monitor,2.0,80.77,Unknown,,Shipped,TRK38938858,4,NO_COUPON,Google,161.54
ORD200049,2023-10-07,C11985,Printer,1.0,30.44,Unknown,,Shipped,TRK53272402,1,SAVE10,Email,30.44
ORD200050,2023-07-31,C96494,Tablet,1.0,179.22,Unknown,,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22
ORD200051,2024-12-30,C36778,Tablet,1.0,388.33,Unknown,,Returned,TRK67610289,2,SAVE10,Facebook,388.33
ORD200052,2024-09-08,C30513,Tablet,1.0,586.44,Unknown,,Returned,TRK64320429,5,SAVE10,Facebook,586.44
ORD200053,2024-05-18,C67551,Phone,4.0,488.78,Unknown,,Returned,TRK94992552,5,FREESHIP,Google,1955.12
