OrderID	Date	CustomerID	Quantity	UnitPrice	ShippingAddress	PaymentMethod	TrackingNumber	ItemsInCart	CouponCode	TotalPrice	RevenuePerUnit	CartUtilizationRate	IsHighValueOrder	OrderMonth	OrderYear	OrderDayOfWeek	HasCoupon	IsSuccessful	Product_Desk	Product_Laptop	Product_Monitor	Product_Phone	Product_Printer	Product_Tablet	ReferralSource_Facebook	ReferralSource_Google	ReferralSource_Instagram	ReferralSource_Referral	OrderStatus_Delivered	OrderStatus_Pending	OrderStatus_Returned	OrderStatus_Shipped
ORD200000	1/4/2023	C72649	5	570.62	Unknown	N/A	TRK37947903	7	SAVE10	2853.1	570.62	0.7143	1	1	2023	2	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200001	8/23/2024	C75739	2	151.35	Unknown	N/A	TRK91186779	3	SAVE10	302.7	151.35	0.6667	0	8	2024	4	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
ORD200002	2/27/2024	C81728	5	550.68	Unknown	N/A	TRK42903982	8	FREESHIP	2753.4	550.68	0.625	1	2	2024	1	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ORD200003	10/15/2023	C33540	1	273.19	Unknown	N/A	TRK62788070	5	SAVE10	273.19	273.19	0.2	0	10	2023	6	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200004	5/8/2025	C81840	4	626.01	Unknown	N/A	TRK29241424	8	SAVE10	2504.04	626.01	0.5	1	5	2025	3	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ORD200005	10/23/2023	C37249	2	245.86	Unknown	N/A	TRK72976927	4	SAVE10	491.72	245.86	0.5	0	10	2023	0	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200006	6/17/2025	C83492	1	664.42	Unknown	N/A	TRK96417362	6	SAVE10	664.42	664.42	0.1667	0	6	2025	1	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200007	5/12/2023	C41460	5	149.55	Unknown	N/A	TRK78809193	9	FREESHIP	747.75	149.55	0.5556	0	5	2023	4	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200008	4/2/2025	C26817	2	134.28	Unknown	N/A	TRK61042692	2	NO_COUPON	268.56	134.28	1	0	4	2025	2	0	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ORD200009	11/21/2023	C31946	4	509.38	Unknown	N/A	TRK33478363	6	SAVE10	2037.52	509.38	0.6667	1	11	2023	1	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200010	12/29/2023	C43443	5	625.97	Unknown	N/A	TRK98859248	9	WINTER15	3129.85	625.97	0.5556	1	12	2023	4	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200011	2/17/2024	C93861	3	49.14	Unknown	N/A	TRK48234646	7	SAVE10	147.42	49.14	0.4286	0	2	2024	5	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200013	8/30/2023	C88348	3	201.49	Unknown	N/A	TRK81913874	4	FREESHIP	604.47	201.49	0.75	0	8	2023	2	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200014	3/27/2023	C98474	2	393.33	Unknown	N/A	TRK79186539	3	SAVE10	786.66	393.33	0.6667	0	3	2023	0	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200015	7/17/2023	C39416	1	473.96	Unknown	N/A	TRK54930938	3	NO_COUPON	473.96	473.96	0.3333	0	7	2023	0	0	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ORD200016	1/24/2023	C28976	2	533.81	Unknown	N/A	TRK13194259	3	FREESHIP	1067.62	533.81	0.6667	1	1	2023	1	1	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200017	3/2/2024	C60672	1	423.4	Unknown	N/A	TRK11972116	3	NO_COUPON	423.4	423.4	0.3333	0	3	2024	5	0	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
ORD200018	3/26/2025	C84329	1	431.44	Unknown	N/A	TRK65191045	3	SAVE10	431.44	431.44	0.3333	0	3	2025	2	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200020	5/8/2023	C54829	5	62.51	Unknown	N/A	TRK16718651	9	WINTER15	312.55	62.51	0.5556	0	5	2023	0	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200021	11/17/2024	C99023	4	342.95	Unknown	N/A	TRK52646983	6	NO_COUPON	1371.8	342.95	0.6667	1	11	2024	6	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ORD200022	1/29/2023	C34416	2	49.62	Unknown	N/A	TRK75937350	2	SAVE10	99.24	49.62	1	0	1	2023	6	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200024	10/30/2024	C17470	2	230.95	Unknown	N/A	TRK28775057	3	WINTER15	461.9	230.95	0.6667	0	10	2024	2	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
ORD200025	7/24/2024	C42577	1	399.98	Unknown	N/A	TRK69423327	3	WINTER15	399.98	399.98	0.3333	0	7	2024	2	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ORD200026	3/6/2024	C21944	5	59.55	Unknown	N/A	TRK80276812	6	NO_COUPON	297.75	59.55	0.8333	0	3	2024	2	0	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
ORD200027	2/22/2024	C97593	1	472.74	Unknown	N/A	TRK89117573	6	WINTER15	472.74	472.74	0.1667	0	2	2024	3	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200028	11/21/2023	C59823	4	160.07	Unknown	N/A	TRK65895539	5	NO_COUPON	640.28	160.07	0.8	0	11	2023	1	0	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200029	9/20/2024	C33260	3	423.53	Unknown	N/A	TRK59744090	6	SAVE10	1270.59	423.53	0.5	1	9	2024	4	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
ORD200030	3/22/2025	C44267	2	426.7	Unknown	N/A	TRK54751444	5	SAVE10	853.4	426.7	0.4	1	3	2025	5	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
ORD200031	6/30/2023	C26445	3	500.08	Unknown	N/A	TRK31229981	6	NO_COUPON	1500.24	500.08	0.5	1	6	2023	4	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200032	5/1/2023	C12388	5	536.72	Unknown	N/A	TRK99261395	10	NO_COUPON	2683.6	536.72	0.5	1	5	2023	0	0	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ORD200033	6/5/2023	C52184	1	162.77	Unknown	N/A	TRK73312471	4	WINTER15	162.77	162.77	0.25	0	6	2023	0	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ORD200034	1/7/2023	C67195	4	576.52	Unknown	N/A	TRK55467915	5	WINTER15	2306.08	576.52	0.8	1	1	2023	5	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200035	12/7/2024	C50304	2	465.15	Unknown	N/A	TRK46850888	2	SAVE10	930.3	465.15	1	1	12	2024	5	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200036	5/8/2025	C59337	2	534.43	Unknown	N/A	TRK50961250	5	NO_COUPON	1068.86	534.43	0.4	1	5	2025	3	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200037	10/14/2024	C10054	2	76.74	Unknown	N/A	TRK94005261	7	SAVE10	153.48	76.74	0.2857	0	10	2024	0	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200038	12/19/2024	C15924	1	245.89	Unknown	N/A	TRK14835975	3	SAVE10	245.89	245.89	0.3333	0	12	2024	3	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ORD200039	2/27/2025	C96664	3	256.46	Unknown	N/A	TRK85508960	4	SAVE10	769.38	256.46	0.75	0	2	2025	3	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
ORD200040	8/20/2023	C84766	2	344.02	Unknown	N/A	TRK78967923	4	FREESHIP	688.04	344.02	0.5	0	8	2023	6	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
ORD200041	12/5/2023	C20212	3	611.45	Unknown	N/A	TRK69733327	4	FREESHIP	1834.35	611.45	0.75	1	12	2023	1	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200042	5/6/2024	C28712	2	151.66	Unknown	N/A	TRK40772558	6	NO_COUPON	303.32	151.66	0.3333	0	5	2024	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ORD200043	12/14/2023	C60572	3	499.21	Unknown	N/A	TRK20351666	8	NO_COUPON	1497.63	499.21	0.375	1	12	2023	3	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ORD200044	4/21/2025	C73225	2	550.18	Unknown	N/A	TRK73848522	3	FREESHIP	1100.36	550.18	0.6667	1	4	2025	0	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
ORD200045	2/10/2024	C17388	1	317.25	Unknown	N/A	TRK47077395	1	SAVE10	317.25	317.25	1	0	2	2024	5	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200046	6/26/2024	C43212	4	550.14	Unknown	N/A	TRK25100762	4	FREESHIP	2200.56	550.14	1	1	6	2024	2	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ORD200047	7/19/2023	C38134	2	209.94	Unknown	N/A	TRK42450754	3	FREESHIP	419.88	209.94	0.6667	0	7	2023	2	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200048	8/26/2023	C12408	2	80.77	Unknown	N/A	TRK38938858	4	NO_COUPON	161.54	80.77	0.5	0	8	2023	5	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200049	10/7/2023	C11985	1	30.44	Unknown	N/A	TRK53272402	1	SAVE10	30.44	30.44	1	0	10	2023	5	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ORD200050	7/31/2023	C96494	1	179.22	Unknown	N/A	TRK14675049	6	FREESHIP	179.22	179.22	0.1667	0	7	2023	0	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ORD200051	12/30/2024	C36778	1	388.33	Unknown	N/A	TRK67610289	2	SAVE10	388.33	388.33	0.5	0	12	2024	0	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200052	9/8/2024	C30513	1	586.44	Unknown	N/A	TRK64320429	5	SAVE10	586.44	586.44	0.2	0	9	2024	6	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200053	5/18/2024	C67551	4	488.78	Unknown	N/A	TRK94992552	5	FREESHIP	1955.12	488.78	0.8	1	5	2024	5	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ORD200054	3/27/2025	C48120	1	280.25	Unknown	N/A	TRK11014449	5	WINTER15	280.25	280.25	0.2	0	3	2025	3	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
